"","X","Year","Date","Site","Region","Latitude.Degrees","Longitude.Degrees","Depth","Species","Count","Ecoregion","SSTA_DHW","SSTFilled","human100km","human50km","human25km","MPA","STATUS_YR"
"522",522,2006,"23-Oct-06","Lai Chi Wo","China",22.5381,114.265,2.8,"Bleaching (% of population)",50,"ERG055",0,298.71,35480240.870451,18901656.7672648,7046293.6598978,"Non MPA",NA
"523",523,2007,"04-Aug-07","Lai Chi Wo","China",22.5381,114.265,3,"Bleaching (% of population)",0,"ERG055",0,300.15,35480240.870451,18901656.7672648,7046293.6598978,"Non MPA",NA
"524",524,2008,"17-Aug-08","Lai Chi Wo","China",22.5381,114.265,3,"Bleaching (% of population)",0,"ERG055",6.8,304.82,35480240.870451,18901656.7672648,7046293.6598978,"Non MPA",NA
"525",525,2009,"29-Jul-09","Lai Chi Wo","China",22.5381,114.265,3,"Bleaching (% of population)",0,"ERG055",4.37,299.92,35480240.870451,18901656.7672648,7046293.6598978,"Non MPA",NA
"526",526,2003,"09-Aug-03","Pak Ma Tsui","China",22.3628,114.274,2,"Bleaching (% of population)",0,"ERG055",3.24,301.88,32783995.8175488,15345015.3653879,6139401.44906425,"Non MPA",NA
"527",527,2005,"06-Sep-05","Pak Ma Tsui","China",22.3628,114.274,3.5,"Bleaching (% of population)",0,"ERG055",0,300.88,32783995.8175488,15345015.3653879,6139401.44906425,"Non MPA",NA
"528",528,2007,"08-Jul-07","Pak Ma Tsui","China",22.3628,114.274,4.5,"Bleaching (% of population)",0,"ERG055",9.54,302.25,32783995.8175488,15345015.3653879,6139401.44906425,"Non MPA",NA
"529",529,2008,"03-Aug-08","Pak Ma Tsui","China",22.3628,114.274,5,"Bleaching (% of population)",0,"ERG055",1.09,300.65,32783995.8175488,15345015.3653879,6139401.44906425,"Non MPA",NA
"530",530,2009,"05-Sep-09","Pak Ma Tsui","China",22.3628,114.274,4.5,"Bleaching (% of population)",0,"ERG055",7.71,302.65,32783995.8175488,15345015.3653879,6139401.44906425,"Non MPA",NA
"531",531,2010,"13-Oct-10","Pak Ma Tsui","China",22.3628,114.274,2.5,"Bleaching (% of population)",0,"ERG055",13.81,299.05,32783995.8175488,15345015.3653879,6139401.44906425,"Non MPA",NA
"532",532,2010,"08-Sep-10","Lai Chi Wo","China",22.5365,114.268,2.7,"Bleaching (% of population)",35,"ERG055",19.12,303.65,35431114.9309978,18907469.7682414,7056829.75071812,"Non MPA",NA
"533",533,2005,"11-Sep-05","Yam Chau Tong","China",22.5287,114.282,5,"Bleaching (% of population)",0,"ERG055",0,302.51,34901896.7931194,18381315.902,7401989.36204624,"Non MPA",NA
"534",534,2010,"07-Aug-10","Sharp Island South","China",22.3628,114.292,4,"Bleaching (% of population)",0,"ERG055",4.57,302.22,32470209.3999233,14989187.3818254,5972159.48893547,"MPA","1979"
"535",535,2005,"06-Sep-05","Sharp Island South","China",22.3567,114.293,3.5,"Bleaching (% of population)",0,"ERG055",0,300.98,32389885.1727505,14951956.7021379,5913755.49764824,"Non MPA",NA
"536",536,2007,"12-Aug-07","Sharp Island South","China",22.3567,114.293,4.5,"Bleaching (% of population)",0,"ERG055",13.91,302.33,32389885.1727505,14951956.7021379,5913755.49764824,"Non MPA",NA
"537",537,2008,"25-Jul-08","Sharp Island South","China",22.3567,114.293,2.5,"Bleaching (% of population)",0,"ERG055",1.07,300.52,32389885.1727505,14951956.7021379,5913755.49764824,"Non MPA",NA
"538",538,2009,"16-Aug-09","Sharp Island South","China",22.3567,114.293,3,"Bleaching (% of population)",0,"ERG055",6.15,303.3,32389885.1727505,14951956.7021379,5913755.49764824,"Non MPA",NA
"539",539,2005,"04-Sep-05","Sharp Island East","China",22.3586,114.293,2.5,"Bleaching (% of population)",0,"ERG055",0,300.98,32389885.1727505,14951956.7021379,5913755.49764824,"MPA","1979"
"540",540,2007,"30-Jun-07","Sharp Island East","China",22.3586,114.293,2.5,"Bleaching (% of population)",0,"ERG055",10.77,302.59,32389885.1727505,14951956.7021379,5913755.49764824,"MPA","1979"
"541",541,2008,"19-Sep-08","Sharp Island East","China",22.3586,114.293,3,"Bleaching (% of population)",1,"ERG055",1.85,299.45,32389885.1727505,14951956.7021379,5913755.49764824,"MPA","1979"
"542",542,2009,"13-Sep-09","Sharp Island East","China",22.3586,114.293,3,"Bleaching (% of population)",0,"ERG055",5.18,301.48,32389885.1727505,14951956.7021379,5913755.49764824,"MPA","1979"
"543",543,2010,"04-Jul-10","Sharp Island East","China",22.3586,114.293,3,"Bleaching (% of population)",0,"ERG055",1.18,301.54,32389885.1727505,14951956.7021379,5913755.49764824,"MPA","1979"
"544",544,2005,"03-Sep-05","Sharp Island North","China",22.3606,114.297,3,"Bleaching (% of population)",20,"ERG055",0,300.98,32371362.5218716,14951588.5164309,5913993.55534172,"Non MPA",NA
"545",545,2006,"24-Sep-06","Sharp Island North","China",22.3606,114.297,2,"Bleaching (% of population)",4,"ERG055",1.01,299.45,32371362.5218716,14951588.5164309,5913993.55534172,"Non MPA",NA
"546",546,2007,"19-Aug-07","Sharp Island North","China",22.3606,114.297,3,"Bleaching (% of population)",0,"ERG055",13.91,301.67,32371362.5218716,14951588.5164309,5913993.55534172,"Non MPA",NA
"547",547,2008,"20-Jul-08","Sharp Island North","China",22.3606,114.297,3,"Bleaching (% of population)",0,"ERG055",1.07,300.27,32371362.5218716,14951588.5164309,5913993.55534172,"Non MPA",NA
"548",548,2009,"22-Aug-09","Sharp Island North","China",22.3606,114.297,3,"Bleaching (% of population)",0,"ERG055",7.64,301.29,32371362.5218716,14951588.5164309,5913993.55534172,"Non MPA",NA
"549",549,2010,"07-Jul-10","Sharp Island North","China",22.3606,114.297,1.5,"Bleaching (% of population)",0,"ERG055",1.18,301.42,32371362.5218716,14951588.5164309,5913993.55534172,"Non MPA",NA
"550",550,2005,"27-Aug-05","Tai Mong Tsai","China",22.3849,114.298,2.5,"Bleaching (% of population)",0,"ERG055",1.71666666666667,299.726666666667,32658718.5492153,15595370.0789967,6222477.23249435,"Non MPA",NA
"551",551,2006,"02-Sep-06","Tai Mong Tsai","China",22.3849,114.298,2,"Bleaching (% of population)",0,"ERG055",1.99,301.343333333333,32658718.5492153,15595370.0789967,6222477.23249435,"Non MPA",NA
"552",552,2007,"05-Aug-07","Tai Mong Tsai","China",22.3849,114.298,2,"Bleaching (% of population)",0,"ERG055",10.9166666666667,302.61,32658718.5492153,15595370.0789967,6222477.23249435,"Non MPA",NA
"553",553,2008,"06-Sep-08","Tai Mong Tsai","China",22.3849,114.298,6,"Bleaching (% of population)",0,"ERG055",0,297.343333333333,32658718.5492153,15595370.0789967,6222477.23249435,"Non MPA",NA
"554",554,2009,"12-Sep-09","Tai Mong Tsai","China",22.3849,114.298,2,"Bleaching (% of population)",0,"ERG055",16.01,302.503333333333,32658718.5492153,15595370.0789967,6222477.23249435,"Non MPA",NA
"555",555,2003,"27-Sep-03","Shelter Island","China",22.3292,114.293,4,"Bleaching (% of population)",0,"ERG055",0,300.14,31795095.7499218,14189945.4972391,5715213.6694622,"Non MPA",NA
"556",556,2004,"09-Aug-04","Shelter Island","China",22.3292,114.293,3,"Bleaching (% of population)",0,"ERG055",10.74,301.68,31795095.7499218,14189945.4972391,5715213.6694622,"Non MPA",NA
"557",557,2005,"23-Jul-05","Shelter Island","China",22.3292,114.293,3,"Bleaching (% of population)",0,"ERG055",4.67,300.58,31795095.7499218,14189945.4972391,5715213.6694622,"Non MPA",NA
"558",558,2006,"30-Sep-06","Shelter Island","China",22.3292,114.293,3,"Bleaching (% of population)",0,"ERG055",1.01,298.71,31795095.7499218,14189945.4972391,5715213.6694622,"Non MPA",NA
"559",559,2007,"15-Sep-07","Shelter Island","China",22.3292,114.293,3,"Bleaching (% of population)",0,"ERG055",7.05,301.13,31795095.7499218,14189945.4972391,5715213.6694622,"Non MPA",NA
"560",560,2008,"18-Oct-08","Shelter Island","China",22.3292,114.293,3,"Bleaching (% of population)",0,"ERG055",2.89,299.08,31795095.7499218,14189945.4972391,5715213.6694622,"Non MPA",NA
"561",561,2009,"27-Sep-09","Shelter Island","China",22.3292,114.293,3,"Bleaching (% of population)",0,"ERG055",5.54,302.02,31795095.7499218,14189945.4972391,5715213.6694622,"Non MPA",NA
"562",562,2010,"26-Sep-10","Shelter Island","China",22.3292,114.293,3,"Bleaching (% of population)",0,"ERG055",12.7,303.89,31795095.7499218,14189945.4972391,5715213.6694622,"Non MPA",NA
"563",563,2006,"02-Sep-06","Tai Pai","China",22.343,114.293,10,"Bleaching (% of population)",0,"ERG055",3.65,302.32,32205343.277792,14716453.8041887,5847516.91171074,"Non MPA",NA
"564",564,2007,"19-Aug-07","Tai Pai","China",22.343,114.293,5.5,"Bleaching (% of population)",0,"ERG055",13.91,301.67,32205343.277792,14716453.8041887,5847516.91171074,"Non MPA",NA
"565",565,2008,"17-Aug-08","Tai Pai","China",22.343,114.293,3,"Bleaching (% of population)",0,"ERG055",1.07,301.02,32205343.277792,14716453.8041887,5847516.91171074,"Non MPA",NA
"566",566,2009,"20-Aug-09","Tai Pai","China",22.343,114.293,5,"Bleaching (% of population)",0,"ERG055",7.64,301.29,32205343.277792,14716453.8041887,5847516.91171074,"Non MPA",NA
"567",567,2004,"12-Sep-04","Tai Mong Tsai","China",22.3851,114.294,3,"Bleaching (% of population)",0,"ERG055",13.12,300.263333333333,32798876.9281216,15595711.7889729,6412921.41706467,"Non MPA",NA
"568",568,2002,"27-Jul-02","Sharp Island South","China",22.3544,114.295,5,"Bleaching (% of population)",0,"ERG055",4.58,301.08,32305772.3290005,14806226.1083879,5913755.49764824,"Non MPA",NA
"569",569,2003,"30-Aug-03","Sharp Island South","China",22.3544,114.295,3,"Bleaching (% of population)",7,"ERG055",3.53,301.96,32305772.3290005,14806226.1083879,5913755.49764824,"Non MPA",NA
"570",570,2004,"19-Oct-04","Sharp Island South","China",22.3544,114.295,2.5,"Bleaching (% of population)",0,"ERG055",2.82,299.6,32305772.3290005,14806226.1083879,5913755.49764824,"Non MPA",NA
"571",571,2004,"28-Aug-04","Sharp Island East","China",22.3558,114.298,2,"Bleaching (% of population)",0,"ERG055",8.3,302.93,32280003.8571987,14806008.4017153,5913993.55534172,"Non MPA",NA
"572",572,2005,"09-Jul-05","Tau Tun, Kat O","China",22.5509,114.303,3.2,"Bleaching (% of population)",1,"ERG055",3.56,302.23,34722393.817625,18154068.410255,5901553.3161478,"Non MPA",NA
"573",573,2006,"09-Jul-06","Tau Tun, Kat O","China",22.5509,114.303,3.2,"Bleaching (% of population)",0,"ERG055",4.3,301.56,34722393.817625,18154068.410255,5901553.3161478,"Non MPA",NA
"574",574,2007,"08-Sep-07","Tau Tun, Kat O","China",22.5509,114.303,3.5,"Bleaching (% of population)",0,"ERG055",6.63,299.63,34722393.817625,18154068.410255,5901553.3161478,"Non MPA",NA
"575",575,2008,"30-Jun-08","Tau Tun, Kat O","China",22.5509,114.303,3.5,"Bleaching (% of population)",0,"ERG055",0,301.2,34722393.817625,18154068.410255,5901553.3161478,"Non MPA",NA
"576",576,2009,"28-Jul-09","Tau Tun, Kat O","China",22.5509,114.303,3,"Bleaching (% of population)",0,"ERG055",6.87,300.88,34722393.817625,18154068.410255,5901553.3161478,"Non MPA",NA
"577",577,2010,"05-Sep-10","Tau Tun, Kat O","China",22.5509,114.303,6,"Bleaching (% of population)",0,"ERG055",10.04,303.57,34722393.817625,18154068.410255,5901553.3161478,"Non MPA",NA
"578",578,2003,"26-Jul-03","Kat O Mid","China",22.551,114.303,3,"Bleaching (% of population)",0,"ERG055",11.89,302.57,34722393.817625,18154068.410255,5901553.3161478,"Non MPA",NA
"579",579,2004,"24-Sep-04","Kat O Mid","China",22.551,114.303,1.5,"Bleaching (% of population)",0,"ERG055",3.2,301.01,34722393.817625,18154068.410255,5901553.3161478,"Non MPA",NA
"580",580,2002,"08-Oct-02","Kat O (Tun Tau)","China",22.5511,114.304,2.5,"Bleaching (% of population)",0,"ERG055",1.36,299.29,34698896.7570782,18154068.410255,5484209.9098978,"Non MPA",NA
"581",581,2002,"23-Jun-02","Kat O North 1","China",22.5507,114.304,1.5,"Bleaching (% of population)",0,"ERG055",5.86,301.24,34698896.7570782,18154068.410255,5484209.9098978,"Non MPA",NA
"582",582,2005,"31-Aug-05","Kat O, Kai Kung Tau","China",22.5506,114.309,3,"Bleaching (% of population)",0,"ERG055",0,301.51,34639924.3118877,18152137.8577647,4768673.0192728,"Non MPA",NA
"583",583,2006,"23-Oct-06","Kat O, Kai Kung Tau","China",22.5506,114.309,2.8,"Bleaching (% of population)",21,"ERG055",0,299.35,34639924.3118877,18152137.8577647,4768673.0192728,"Non MPA",NA
"584",584,2007,"25-Aug-07","Kat O, Kai Kung Tau","China",22.5506,114.309,3.5,"Bleaching (% of population)",0,"ERG055",6.63,300.57,34639924.3118877,18152137.8577647,4768673.0192728,"Non MPA",NA
"585",585,2008,"05-Jul-08","Kat O, Kai Kung Tau","China",22.5506,114.309,4,"Bleaching (% of population)",0,"ERG055",0,301.91,34639924.3118877,18152137.8577647,4768673.0192728,"Non MPA",NA
"586",586,2009,"25-Jul-09","Kat O, Kai Kung Tau","China",22.5506,114.309,3.5,"Bleaching (% of population)",0,"ERG055",6.87,300.88,34639924.3118877,18152137.8577647,4768673.0192728,"Non MPA",NA
"587",587,2010,"28-Aug-10","Kat O, Kai Kung Tau","China",22.5506,114.309,3,"Bleaching (% of population)",0,"ERG055",8.2,303.7,34639924.3118877,18152137.8577647,4768673.0192728,"Non MPA",NA
"588",588,2003,"26-Jul-03","Kai Kon Tau, Kat O","China",22.5504,114.314,3,"Bleaching (% of population)",0,"ERG055",11.89,302.57,34592197.4290752,18117161.3978038,4768911.07696629,"Non MPA",NA
"589",589,2003,"23-Aug-03","Double Island","China",22.5231,114.316,3,"Bleaching (% of population)",0,"ERG055",8.32,302.11,34242590.1451397,17642728.3472667,5719137.43017197,"Non MPA",NA
"590",590,2005,"27-Aug-05","Double Island","China",22.5231,114.316,2.5,"Bleaching (% of population)",0,"ERG055",0,299.76,34242590.1451397,17642728.3472667,5719137.43017197,"Non MPA",NA
"591",591,2006,"16-Sep-06","Double Island","China",22.5231,114.316,3,"Bleaching (% of population)",0,"ERG055",3.08,300.13,34242590.1451397,17642728.3472667,5719137.43017197,"Non MPA",NA
"592",592,2007,"07-Jul-07","Double Island","China",22.5231,114.316,2.5,"Bleaching (% of population)",0,"ERG055",1.45,302.91,34242590.1451397,17642728.3472667,5719137.43017197,"Non MPA",NA
"593",593,2008,"29-Jun-08","Double Island","China",22.5231,114.316,4,"Bleaching (% of population)",0,"ERG055",0,301.2,34242590.1451397,17642728.3472667,5719137.43017197,"Non MPA",NA
"594",594,2009,"23-Aug-09","Double Island","China",22.5231,114.316,3.5,"Bleaching (% of population)",0,"ERG055",5.64,304.55,34242590.1451397,17642728.3472667,5719137.43017197,"Non MPA",NA
"595",595,2004,"20-Oct-04","Crescent Island, Wu Pai","China",22.5333,114.316,2.5,"Bleaching (% of population)",0,"ERG055",2.89,298.73,34360579.7216778,17856740.0242686,5239321.23504734,"Non MPA",NA
"596",596,2002,"22-Sep-02","Crescent Island North","China",22.5337,114.312,2.5,"Bleaching (% of population)",0,"ERG055",1,300.04,34412315.0784283,17846264.1021495,5362364.19598484,"Non MPA",NA
"597",597,2003,"23-Aug-03","Crescent Island North","China",22.5337,114.312,3,"Bleaching (% of population)",0,"ERG055",8.32,302.11,34412315.0784283,17846264.1021495,5362364.19598484,"Non MPA",NA
"598",598,2004,"27-Sep-04","Crescent Island North","China",22.5337,114.312,2.5,"Bleaching (% of population)",0,"ERG055",2.89,300.91,34412315.0784283,17846264.1021495,5362364.19598484,"Non MPA",NA
"599",599,2005,"12-Aug-05","Crescent Island North","China",22.5337,114.312,2.6,"Bleaching (% of population)",0,"ERG055",2.35,300.34,34412315.0784283,17846264.1021495,5362364.19598484,"Non MPA",NA
"600",600,2006,"23-Oct-06","Crescent Island North","China",22.5337,114.312,3.2,"Bleaching (% of population)",12,"ERG055",0,299.35,34412315.0784283,17846264.1021495,5362364.19598484,"Non MPA",NA
"601",601,2005,"09-Sep-05","Crescent Island (Wu Pai)","China",22.5307,114.315,3,"Bleaching (% of population)",0,"ERG055",0,302.51,34280529.2708111,17849734.8106456,5239321.23504734,"Non MPA",NA
"602",602,2006,"15-Sep-06","Crescent Island (Wu Pai)","China",22.5307,114.315,2.2,"Bleaching (% of population)",0,"ERG055",3.08,300.13,34280529.2708111,17849734.8106456,5239321.23504734,"Non MPA",NA
"603",603,2007,"15-Jul-07","Crescent Island (Wu Pai)","China",22.5307,114.315,3.5,"Bleaching (% of population)",0,"ERG055",3,302.03,34280529.2708111,17849734.8106456,5239321.23504734,"Non MPA",NA
"604",604,2008,"17-Aug-08","Crescent Island (Wu Pai)","China",22.5307,114.315,3,"Bleaching (% of population)",0,"ERG055",0,302.23,34280529.2708111,17849734.8106456,5239321.23504734,"Non MPA",NA
"605",605,2009,"29-Aug-09","Crescent Island (Wu Pai)","China",22.5307,114.315,3,"Bleaching (% of population)",0,"ERG055",8.26,304.35,34280529.2708111,17849734.8106456,5239321.23504734,"Non MPA",NA
"606",606,2005,"05-Aug-05","Wong Chuk Kok Hoi","China",22.5076,114.323,2.5,"Bleaching (% of population)",0,"ERG055",4.06,301.22,33964958.8286419,17290618.6278758,5984276.04699326,"Non MPA",NA
"607",607,2006,"16-Aug-06","Wong Chuk Kok Hoi","China",22.5076,114.323,3,"Bleaching (% of population)",5,"ERG055",5.25,302.23,33964958.8286419,17290618.6278758,5984276.04699326,"Non MPA",NA
"608",608,2007,"26-Aug-07","Wong Chuk Kok Hoi","China",22.5076,114.323,3,"Bleaching (% of population)",0,"ERG055",12.86,301.24,33964958.8286419,17290618.6278758,5984276.04699326,"Non MPA",NA
"609",609,2008,"20-Jul-08","Wong Chuk Kok Hoi","China",22.5076,114.323,3,"Bleaching (% of population)",0,"ERG055",0,302.07,33964958.8286419,17290618.6278758,5984276.04699326,"Non MPA",NA
"610",610,2009,"30-Aug-09","Wong Chuk Kok Hoi","China",22.5076,114.323,3,"Bleaching (% of population)",0,"ERG055",8.23,303.6,33964958.8286419,17290618.6278758,5984276.04699326,"Non MPA",NA
"611",611,2002,"28-Jul-02","Hoi Ha Wan Pier","China",22.4664,114.331,2.5,"Bleaching (% of population)",0,"ERG055",2.08,301.03,33026035.0429974,16345455.1881075,5670815.34964371,"Non MPA",NA
"612",612,2003,"07-Sep-03","Hoi Ha Wan Pier","China",22.4664,114.331,5,"Bleaching (% of population)",7,"ERG055",5.39,301.72,33026035.0429974,16345455.1881075,5670815.34964371,"Non MPA",NA
"613",613,2003,"15-Jul-03","Moon Island (Hoi Ha Wan)","China",22.4803,114.333,4.2,"Bleaching (% of population)",0,"ERG055",3.67,303,33151344.8441448,16448751.3907552,5310089.20218277,"Non MPA",NA
"614",614,2004,"01-Aug-04","Moon Island (Hoi Ha Wan)","China",22.4803,114.333,3.8,"Bleaching (% of population)",7,"ERG055",10.39,303.34,33151344.8441448,16448751.3907552,5310089.20218277,"Non MPA",NA
"615",615,2005,"09-Oct-05","Moon Island (Hoi Ha Wan)","China",22.4803,114.333,3.9,"Bleaching (% of population)",4,"ERG055",0,300.35,33151344.8441448,16448751.3907552,5310089.20218277,"Non MPA",NA
"616",616,2006,"20-Aug-06","Moon Island (Hoi Ha Wan)","China",22.4803,114.333,3,"Bleaching (% of population)",2,"ERG055",13.29,301.57,33151344.8441448,16448751.3907552,5310089.20218277,"Non MPA",NA
"617",617,2007,"21-Jul-07","Moon Island (Hoi Ha Wan)","China",22.4803,114.333,2.5,"Bleaching (% of population)",0,"ERG055",6.18,301.54,33151344.8441448,16448751.3907552,5310089.20218277,"Non MPA",NA
"618",618,2008,"19-Jul-08","Moon Island (Hoi Ha Wan)","China",22.4803,114.333,3,"Bleaching (% of population)",0,"ERG055",1.08,301.14,33151344.8441448,16448751.3907552,5310089.20218277,"Non MPA",NA
"619",619,2009,"02-Aug-09","Moon Island (Hoi Ha Wan)","China",22.4803,114.333,2.5,"Bleaching (% of population)",0,"ERG055",7.27,301.26,33151344.8441448,16448751.3907552,5310089.20218277,"Non MPA",NA
"620",620,2010,"28-Aug-10","Moon Island (Hoi Ha Wan)","China",22.4803,114.333,2.5,"Bleaching (% of population)",20,"ERG055",6.98,303.72,33151344.8441448,16448751.3907552,5310089.20218277,"Non MPA",NA
"621",621,2005,"11-Sep-05","Tai She Wan","China",22.358,114.337,2.5,"Bleaching (% of population)",0,"ERG055",1.06666666666667,301.586666666667,31508215.256628,14285199.6911945,5642612.5966301,"Non MPA",NA
"622",622,2006,"10-Sep-06","Tai She Wan","China",22.358,114.337,2.8,"Bleaching (% of population)",0,"ERG055",4.28666666666667,301.633333333333,31508215.256628,14285199.6911945,5642612.5966301,"Non MPA",NA
"623",623,2007,"25-Jul-07","Tai She Wan","China",22.358,114.337,6,"Bleaching (% of population)",0,"ERG055",7.895,303.165,31508215.256628,14285199.6911945,5642612.5966301,"Non MPA",NA
"624",624,2008,"03-Aug-08","Tai She Wan","China",22.358,114.337,3.5,"Bleaching (% of population)",0,"ERG055",2.19,301.535,31508215.256628,14285199.6911945,5642612.5966301,"Non MPA",NA
"625",625,2009,"22-Aug-09","Tai She Wan","China",22.358,114.337,3,"Bleaching (% of population)",0,"ERG055",6.93166666666667,302.718333333333,31508215.256628,14285199.6911945,5642612.5966301,"Non MPA",NA
"626",626,2010,"11-Sep-10","Tai She Wan","China",22.358,114.337,4.5,"Bleaching (% of population)",0,"ERG055",8.49166666666667,302.903333333333,31508215.256628,14285199.6911945,5642612.5966301,"Non MPA",NA
"627",627,2002,"29-Aug-02","Tai She Wan","China",22.3591,114.336,3.4,"Bleaching (% of population)",0,"ERG055",0.34,301.666666666667,31508215.256628,14285199.6911945,5642612.5966301,"Non MPA",NA
"628",628,2003,"06-Sep-03","Tai She Wan","China",22.3591,114.336,0.5,"Bleaching (% of population)",1,"ERG055",5.38666666666667,301.13,31508215.256628,14285199.6911945,5642612.5966301,"Non MPA",NA
"629",629,2004,"12-Sep-04","Tai She Wan","China",22.3591,114.336,2,"Bleaching (% of population)",0,"ERG055",3.06833333333333,300.476666666667,31508215.256628,14285199.6911945,5642612.5966301,"Non MPA",NA
"630",630,2003,"18-Sep-03","Ninepin South","China",22.2558,114.342,2,"Bleaching (% of population)",0,"ERG055",5.18,299.47,28396912.5070019,11110963.4687662,4696140.84518147,"Non MPA",NA
"631",631,2007,"18-Aug-07","Ninepin South","China",22.2558,114.342,5,"Bleaching (% of population)",0,"ERG055",4.69,301.57,28396912.5070019,11110963.4687662,4696140.84518147,"Non MPA",NA
"632",632,2008,"20-Sep-08","Ninepin South","China",22.2558,114.342,5.5,"Bleaching (% of population)",0,"ERG055",2.69,299.88,28396912.5070019,11110963.4687662,4696140.84518147,"Non MPA",NA
"633",633,2009,"12-Sep-09","Ninepin South","China",22.2558,114.342,5,"Bleaching (% of population)",0,"ERG055",7.86,300.91,28396912.5070019,11110963.4687662,4696140.84518147,"Non MPA",NA
"634",634,2005,"07-Jul-05","Pak A","China",22.3521,114.35,2.5,"Bleaching (% of population)",0,"ERG055",3.205,301.366666666667,31062819.9054852,13591482.4498463,4921286.19672775,"Non MPA",NA
"635",635,2002,"28-Jun-02","Ninepin North","China",22.2637,114.349,6,"Bleaching (% of population)",0,"ERG055",11.54,301.38,28468829.5454311,11164383.8810015,4680601.77010822,"Non MPA",NA
"636",636,2002,"08-Aug-02","Kwo Chau Wan, Ninepin Group","China",22.2586,114.351,6,"Bleaching (% of population)",0,"ERG055",2.91,300.86,28381963.3320522,11110796.0084429,4680601.77010822,"Non MPA",NA
"637",637,2003,"02-Aug-03","Kwo Chau Wan, Ninepin Group","China",22.2586,114.351,3,"Bleaching (% of population)",50,"ERG055",4.37,304.36,28381963.3320522,11110796.0084429,4680601.77010822,"Non MPA",NA
"638",638,2004,"07-Aug-04","Kwo Chau Wan, Ninepin Group","China",22.2586,114.351,4.2,"Bleaching (% of population)",0,"ERG055",8.35,301.85,28381963.3320522,11110796.0084429,4680601.77010822,"Non MPA",NA
"639",639,2005,"10-Sep-05","Kwo Chau Wan, Ninepin Group","China",22.2586,114.351,6.5,"Bleaching (% of population)",0,"ERG055",1.64,301.61,28381963.3320522,11110796.0084429,4680601.77010822,"Non MPA",NA
"640",640,2006,"27-Oct-06","Kwo Chau Wan, Ninepin Group","China",22.2586,114.351,2.5,"Bleaching (% of population)",12,"ERG055",1.36,300.4,28381963.3320522,11110796.0084429,4680601.77010822,"Non MPA",NA
"641",641,2003,"27-Jul-03","Pak Y","China",22.3633,114.353,2,"Bleaching (% of population)",0,"ERG055",6.945,301.851666666667,31156679.7239666,14044722.0745564,5089017.29914474,"Non MPA",NA
"642",642,2007,"01-Jul-07","Pak Y","China",22.3633,114.353,2.5,"Bleaching (% of population)",0,"ERG055",6.65833333333333,301.353333333333,31156679.7239666,14044722.0745564,5089017.29914474,"Non MPA",NA
"643",643,2008,"31-Aug-08","Pak Y","China",22.3633,114.353,3,"Bleaching (% of population)",0,"ERG055",2.19,302.251666666667,31156679.7239666,14044722.0745564,5089017.29914474,"Non MPA",NA
"644",644,2009,"23-Aug-09","Pak Y","China",22.3633,114.353,2,"Bleaching (% of population)",0,"ERG055",6.93166666666667,302.718333333333,31156679.7239666,14044722.0745564,5089017.29914474,"Non MPA",NA
"645",645,2010,"03-Sep-10","Ninepin","China",22.2599,114.351,4,"Bleaching (% of population)",5,"ERG055",6.46,302.16,28413189.3403072,11110645.5294085,4680601.77010822,"Non MPA",NA
"646",646,2003,"20-Sep-03","Port Island","China",22.5017,114.356,1,"Bleaching (% of population)",0,"ERG055",5.45,299.92,33075782.9933453,16449015.6413045,4118976.24517441,"MPA","1978"
"647",647,2004,"26-Sep-04","Port Island","China",22.5017,114.356,2,"Bleaching (% of population)",0,"ERG055",2.63,301.15,33075782.9933453,16449015.6413045,4118976.24517441,"MPA","1978"
"648",648,2005,"03-Oct-05","Port Island","China",22.5017,114.356,4,"Bleaching (% of population)",0,"ERG055",0,300.37,33075782.9933453,16449015.6413045,4118976.24517441,"MPA","1978"
"649",649,2006,"23-Oct-06","Port Island","China",22.5017,114.356,3.5,"Bleaching (% of population)",16,"ERG055",3.36,299.31,33075782.9933453,16449015.6413045,4118976.24517441,"MPA","1978"
"650",650,2007,"29-Jul-07","Port Island","China",22.5017,114.356,3.5,"Bleaching (% of population)",0,"ERG055",7.75,304.18,33075782.9933453,16449015.6413045,4118976.24517441,"MPA","1978"
"651",651,2008,"24-Aug-08","Port Island","China",22.5017,114.356,3.5,"Bleaching (% of population)",0,"ERG055",0,301.19,33075782.9933453,16449015.6413045,4118976.24517441,"MPA","1978"
"652",652,2009,"08-Aug-09","Port Island","China",22.5017,114.356,3.5,"Bleaching (% of population)",0,"ERG055",6.58,300.86,33075782.9933453,16449015.6413045,4118976.24517441,"MPA","1978"
"653",653,2003,"05-Sep-03","Pak Lap Chai","China",22.3528,114.365,4.6,"Bleaching (% of population)",20,"ERG055",6.28,301.09,30611302.5902386,13505885.6535368,4903881.46857834,"Non MPA",NA
"654",654,2004,"19-Aug-04","Pak Lap Chai","China",22.3528,114.365,6,"Bleaching (% of population)",0,"ERG055",5.57,302.66,30611302.5902386,13505885.6535368,4903881.46857834,"Non MPA",NA
"655",655,2005,"11-Sep-05","Pak Lap Chai","China",22.3528,114.365,6,"Bleaching (% of population)",0,"ERG055",0,301.35,30611302.5902386,13505885.6535368,4903881.46857834,"Non MPA",NA
"656",656,2003,"14-Sep-03","Fo Tau Fun Chau","China",22.3379,114.364,4,"Bleaching (% of population)",0,"ERG055",5.03,302.02,30400341.568388,13090945.501009,4795351.92211533,"Non MPA",NA
