"","Year","Date","Site","Region","Latitude.Degrees","Longitude.Degrees","Depth","Species","Count","Ecoregion","SSTA_DHW","SSTFilled","human100km","human50km","human25km","MPA","STATUS_YR","pop100km","pop50km","pop25km"
"8058",2006,"22-Apr-06","Malgretoute","St Lucia",13.839,-61.065,10,"Bleaching (% of population)",0,"ERG138",0,300.55,619023.123880602,165839.532013431,150771.25148344,"MPA",0,602803.361141026,161927.776391864,144766.069177538
"8059",2006,"27-Oct-06","Superman's Flight","St Lucia",13.83,-61.0688,5,"Bleaching (% of population)",48,"ERG138",3.3125,302.2975,615380.130777575,166010.378281131,144170.607440472,"MPA",0,598148.377008379,161927.776391864,140460.984201342
"8060",2006,"27-Oct-06","Superman's Flight","St Lucia",13.83,-61.0688,10,"Bleaching (% of population)",48,"ERG138",3.3125,302.2975,615380.130777575,166010.378281131,144170.607440472,"MPA",0,598148.377008379,161927.776391864,140460.984201342
"8061",2006,"22-May-06","Turtle Reef","St Lucia",13.8658,-61.0795,10,"Bleaching (% of population)",90,"ERG138",0,301.38,619565.315958239,165596.000519291,152159.823993206,"MPA",0,619882.362593949,161927.776391864,151105.068214327
"8062",2006,"07-Jun-06","Anse Chastanet Reef","St Lucia",13.864,-61.08,3,"Bleaching (% of population)",0,"ERG138",1.04,300.38,619565.315958239,165596.000519291,152159.823993206,"MPA",0,619504.895923018,161927.776391864,150916.668670565
"8063",2006,"07-Jun-06","Anse Chastanet Reef","St Lucia",13.864,-61.08,10,"Bleaching (% of population)",0,"ERG138",1.04,300.38,619565.315958239,165596.000519291,152159.823993206,"MPA",0,619504.895923018,161927.776391864,150916.668670565
"8064",2006,"04-Aug-06","Mushroom Garden Line 1","Netherlands Antilles",17.4628,-62.9775,16,"Bleaching (% of population)",0,"ERG138",3.02125,300.79125,147952.528801404,47896.0826796889,15457.9958076477,"MPA",1996,139524.169098737,43948.7999072075,15541.3091407418
"8065",2006,"04-Aug-06","Mushroom Garden Line 2","Netherlands Antilles",17.4628,-62.9775,16,"Bleaching (% of population)",0,"ERG138",3.02125,300.79125,147952.528801404,47896.0826796889,15457.9958076477,"MPA",1996,139524.169098737,43948.7999072075,15541.3091407418
"8066",2006,"04-Aug-06","Barracuda Reef Line 1","Netherlands Antilles",17.4669,-62.9908,19,"Bleaching (% of population)",0,"ERG138",3.02125,300.79125,147952.528801404,47228.9776992202,15001.7641487122,"MPA",1996,139524.169098737,43136.1056895256,13992.7246032357
"8067",2006,"04-Aug-06","Barracuda Reef Line 2","Netherlands Antilles",17.4669,-62.9908,19,"Bleaching (% of population)",0,"ERG138",3.02125,300.79125,147952.528801404,47228.9776992202,15001.7641487122,"MPA",1996,139524.169098737,43136.1056895256,13992.7246032357
"8068",2006,"16-Feb-06","Superman's Flight","St Lucia",13.8333,-61.07,5,"Bleaching (% of population)",0,"ERG138",0,299.763333333333,616625.151529528,165839.532013431,144170.607440472,"MPA",0,599328.893781483,161927.776391864,141784.371881396
"8069",2006,"16-Feb-06","Superman's Flight","St Lucia",13.8333,-61.07,10,"Bleaching (% of population)",80,"ERG138",0,299.763333333333,616625.151529528,165839.532013431,144170.607440472,"MPA",0,599328.893781483,161927.776391864,141784.371881396
"8070",2006,"22-Apr-06","Bronco Billy","BVI",18.4933,-64.4603,3,"Bleaching (% of population)",215,"ERG138",1.21,299.33,133319.985051634,51470.4614787512,24546.3842394166,"MPA",0,134466.041910433,49929.31522696,23528.78241931
"8071",2006,"22-Apr-06","Bronco Billy","BVI",18.4933,-64.4603,10,"Bleaching (% of population)",115,"ERG138",1.21,299.33,133319.985051634,51470.4614787512,24546.3842394166,"MPA",0,134466.041910433,49929.31522696,23528.78241931
"8072",2006,"09-Apr-06","Spyglass","BVI",18.3246,-64.6027,3,"Bleaching (% of population)",230,"ERG138",2.36,299.88,145555.63370371,83610.9347410612,29813.8143867962,"Non MPA",NA,143988.315007801,81068.7644824414,28803.0064694537
"8073",2006,"09-Apr-06","Spyglass","BVI",18.3246,-64.6027,10,"Bleaching (% of population)",235,"ERG138",2.36,299.88,145555.63370371,83610.9347410612,29813.8143867962,"Non MPA",NA,143988.315007801,81068.7644824414,28803.0064694537
"8074",2006,"09-Apr-06","Pelican Island","BVI",18.3317,-64.6273,3,"Bleaching (% of population)",170,"ERG138",0,299.68,145578.999981405,83554.9594526701,36291.2930888645,"MPA",0,144001.252794783,81063.4001456527,31480.324008259
"8075",2006,"09-Apr-06","Pelican Island","BVI",18.3317,-64.6273,10,"Bleaching (% of population)",215,"ERG138",0,299.68,145578.999981405,83554.9594526701,36291.2930888645,"MPA",0,144001.252794783,81063.4001456527,31480.324008259
"8076",2006,"11-May-06","Pelican Island","BVI",18.3317,-64.6273,10,"Bleaching (% of population)",0,"ERG138",0,300.41,145578.999981405,83554.9594526701,36291.2930888645,"MPA",0,144001.252794783,81063.4001456527,31480.324008259
"8077",2006,"11-Apr-06","Diamond Reef","BVI",18.7717,-64.878,3,"Bleaching (% of population)",145,"ERG138",0,299.32,146218.490925401,61340.3268455975,NA,"Non MPA",NA,148935.925980511,70099.8474713843,NA
"8078",2006,"11-Apr-06","Diamond Reef","BVI",18.7717,-64.878,10,"Bleaching (% of population)",155,"ERG138",0,299.32,146218.490925401,61340.3268455975,NA,"Non MPA",NA,148935.925980511,70099.8474713843,NA
"8079",2006,"24-May-06","Diamond Reef","BVI",18.7717,-64.878,3,"Bleaching (% of population)",170,"ERG138",1.6,301.11,146218.490925401,61340.3268455975,NA,"Non MPA",NA,148935.925980511,70099.8474713843,NA
"8080",2006,"24-May-06","Diamond Reef","BVI",18.7717,-64.878,10,"Bleaching (% of population)",100,"ERG138",1.6,301.11,146218.490925401,61340.3268455975,NA,"Non MPA",NA,148935.925980511,70099.8474713843,NA
"8081",2006,"02-Jun-06","Bayahibe/Dominicus","Dominican Republic",18.3427,-68.8326,11.5,"Bleaching (% of population)",170,"ERG138",1.27,302.14,1366434.39189802,628382.957523823,222864.402479172,"MPA",2009,1123384.55641624,486449.151014635,226664.33979889
"8082",2006,"06-Feb-06","Pared (Catalina)","Dominican Republic",18.3739,-69.0056,6,"Bleaching (% of population)",270,"ERG138",0,299.6475,3067344.8372817,721510.038975239,226756.126550198,"MPA",2004,2862795.34326442,683015.777475595,242800.342538752
"8083",2006,"16-Jan-06","PortoMari Transect 3","Netherlands Antilles",12.2181,-69.0866,10,"Bleaching (% of population)",0,"ERG137",4.22,299.29,280633.572683729,148017.925165534,117373.986845762,"Non MPA",NA,270727.605645798,139422.391446518,109763.096090041
"8084",2006,"18-Jul-06","PortoMari Transect 3","Netherlands Antilles",12.2181,-69.0866,10,"Bleaching (% of population)",0,"ERG137",8.38,299.97,280633.572683729,148017.925165534,117373.986845762,"Non MPA",NA,270727.605645798,139422.391446518,109763.096090041
"8085",2006,"17-Jan-06","PortoMari Transect 2","Netherlands Antilles",12.2186,-69.0872,6,"Bleaching (% of population)",0,"ERG137",4.22,299.29,280715.005468763,148017.925165534,117373.986845762,"Non MPA",NA,270887.857259654,139422.391446518,108953.916829787
"8086",2006,"03-Jul-06","PortoMari Transect 2","Netherlands Antilles",12.2186,-69.0872,6,"Bleaching (% of population)",0,"ERG137",9.43,300.41,280715.005468763,148017.925165534,117373.986845762,"Non MPA",NA,270887.857259654,139422.391446518,108953.916829787
"8087",2006,"21-Jan-06","PortoMari Transect 1","Netherlands Antilles",12.2186,-69.0875,12,"Bleaching (% of population)",0,"ERG137",4.22,299.39,280715.005468763,148017.925165534,117373.986845762,"Non MPA",NA,270942.086250209,139422.391446518,108083.014363967
"8088",2006,"15-Jul-06","PortoMari Transect 1","Netherlands Antilles",12.2186,-69.0875,12,"Bleaching (% of population)",0,"ERG137",8.38,299.97,280715.005468763,148017.925165534,117373.986845762,"Non MPA",NA,270942.086250209,139422.391446518,108083.014363967
"8089",2006,"21-Jun-06","Pos Chiquito","Aruba",12.4619,-69.9667,5,"Bleaching (% of population)",0,"ERG137",3.495,300.87,428612.198155833,116532.371357918,101484.486042976,"Non MPA",NA,402678.330998212,104574.58453569,96605.3089468498
"8090",2006,"21-Jun-06","Pos Chiquito","Aruba",12.4619,-69.9667,10,"Bleaching (% of population)",0,"ERG137",3.495,300.87,428612.198155833,116532.371357918,101484.486042976,"Non MPA",NA,402678.330998212,104574.58453569,96605.3089468498
"8091",2006,"21-Jun-06","Pos Chiquito","Aruba",12.4619,-69.9667,12,"Bleaching (% of population)",0,"ERG137",3.495,300.87,428612.198155833,116532.371357918,101484.486042976,"Non MPA",NA,402678.330998212,104574.58453569,96605.3089468498
"8092",2006,"28-Aug-06","Larimar 1","Dominican Republic",19.7704,-70.5183,9,"Bleaching (% of population)",340,"ERG138",1.71,301.05,2878584.36262733,1601684.52318192,233054.76852417,"Non MPA",NA,2788261.79075357,1482994.82535371,232525.645595074
"8093",2006,"28-Aug-06","West Wall","Dominican Republic",19.7605,-70.5206,6,"Bleaching (% of population)",320,"ERG138",1.71,301.05,2892161.41505653,1631668.57078934,237827.27633667,"Non MPA",NA,2804469.60618207,1504725.51153335,236256.920304775
"8094",2006,"15-Jul-06","Iberostar","Dominican Republic",19.7803,-70.6505,7,"Bleaching (% of population)",280,"ERG138",8.1775,300.93,2875253.43110877,1569930.82333374,287240.118034363,"Non MPA",NA,2766069.59484951,1501952.92248738,252109.440043747
"8095",2006,"10-Jun-06","Cayo Arena","Dominican Republic",19.8407,-71.2129,6,"Bleaching (% of population)",265,"ERG138",3.11,301.57,2647914.58510101,451299.89881736,86491.1786330342,"Non MPA",NA,2487279.40163936,430654.941183791,68715.7665230632
"8096",2006,"11-Jun-06","Cabecitos del Cayo","Dominican Republic",19.8761,-71.331,5,"Bleaching (% of population)",20,"ERG138",8.01,301.23,2815368.86994445,330962.731543362,55988.2482398152,"MPA",2004,2627447.59255637,327475.649506152,45136.2099736333
"8097",2006,"28-May-06","Yeso de Cuevanjo","Dominican Republic",17.8119,-71.6417,5,"Bleaching (% of population)",0,"ERG138",2.64,301.54,936307.182471809,88560.2487042518,7495.64494768996,"MPA",2004,819028.268918617,71972.1819589045,7053.36472694576
"8098",2006,"27-May-06","El Hotel","Dominican Republic",17.8945,-71.6699,12,"Bleaching (% of population)",0,"ERG138",1.06,301.28,2160985.94096333,153836.675072965,15824.375542325,"MPA",2014,2103439.98265837,140245.49299722,22406.3512856439
"8099",2006,"27-May-06","El Faro","Dominican Republic",17.9361,-71.6887,8,"Bleaching (% of population)",7,"ERG138",1.07,301.47,3674570.22447163,191068.386112032,24478.6923948945,"Non MPA",NA,3169115.71307359,167062.394567629,25212.4443756957
"8100",2006,"28-May-06","Punta de Bahia","Dominican Republic",18.0251,-71.7425,12,"Bleaching (% of population)",3,"ERG138",2.36,301.32,4270520.70109516,244446.716935796,53919.9814202012,"Non MPA",NA,3794981.31711618,212708.656669676,47046.927196756
"8101",2006,"05-Mar-06","Monkey Island","Jamaica",18.1753,-76.3914,4,"Bleaching (% of population)",40,"ERG139",0,299.37,1727561.44144328,817521.663032934,82967.2308927253,"Non MPA",NA,1714563.54387001,775315.940562572,67242.5329291821
"8102",2006,"13-May-06","Monkey Island","Jamaica",18.1753,-76.3914,4,"Bleaching (% of population)",25,"ERG139",0,301.48,1727561.44144328,817521.663032934,82967.2308927253,"Non MPA",NA,1714563.54387001,775315.940562572,67242.5329291821
"8103",2006,"04-Mar-06","Navy Island","Jamaica",18.1917,-76.4546,8,"Bleaching (% of population)",40,"ERG139",0,300.155,1814991.32652362,929586.096713731,114169.380795069,"Non MPA",NA,1801871.88954457,922774.637873307,77132.592199564
"8104",2006,"13-May-06","Navy Island","Jamaica",18.1917,-76.4546,8,"Bleaching (% of population)",0,"ERG139",0,301.185,1814991.32652362,929586.096713731,114169.380795069,"Non MPA",NA,1801871.88954457,922774.637873307,77132.592199564
"8105",2006,"10-Feb-06","Gun Cay","Jamaica",17.9319,-76.8357,4,"Bleaching (% of population)",100,"ERG139",1.01,299.48,2209145.26232548,1554345.23023012,920191.151306152,"MPA",2005,2189143.61785832,1543924.77150103,978901.889937639
"8106",2006,"15-Mar-06","Gun Cay","Jamaica",17.9319,-76.8357,4,"Bleaching (% of population)",26,"ERG139",0,299.79,2209145.26232548,1554345.23023012,920191.151306152,"MPA",2005,2189143.61785832,1543924.77150103,978901.889937639
"8107",2006,"13-Feb-06","Rackhams Cay","Jamaica",17.9241,-76.8378,5,"Bleaching (% of population)",100,"ERG139",1.01,299.48,2209962.05700321,1544462.59155825,873874.534118652,"MPA",2005,2189812.10676327,1539146.43551585,975145.700864553
"8108",2006,"15-Mar-06","Rackhams Cay","Jamaica",17.9241,-76.8378,5,"Bleaching (% of population)",100,"ERG139",0,299.79,2209962.05700321,1544462.59155825,873874.534118652,"MPA",2005,2189812.10676327,1539146.43551585,975145.700864553
"8109",2006,"23-Feb-06","Drunkenman's Cay","Jamaica",17.9019,-76.8459,5,"Bleaching (% of population)",190,"ERG139",1.15,299.98,2209962.05700321,1535475.12483194,798613.29864502,"MPA",2005,2190273.22118893,1516548.16845891,955319.058479071
"8110",2006,"23-Feb-06","Drunkenman's Cay","Jamaica",17.9019,-76.8459,7,"Bleaching (% of population)",240,"ERG139",1.15,299.98,2209962.05700321,1535475.12483194,798613.29864502,"MPA",2005,2190273.22118893,1516548.16845891,955319.058479071
"8111",2006,"18-Feb-06","Wreck Reef","Jamaica",17.8323,-76.9222,4,"Bleaching (% of population)",50,"ERG139",0,299.63,2237224.4739249,1491603.73506907,358118.47006014,"MPA",1999,2209413.77895251,1449128.74340147,668595.651353613
"8112",2006,"31-Mar-06","Wreck Reef","Jamaica",17.8323,-76.9222,4,"Bleaching (% of population)",45,"ERG139",0,300.14,2237224.4739249,1491603.73506907,358118.47006014,"MPA",1999,2209413.77895251,1449128.74340147,668595.651353613
"8113",2006,"31-Mar-06","Tern Cay","Jamaica",17.8294,-76.9849,4,"Bleaching (% of population)",40,"ERG139",0,300.086666666667,2277685.97078738,1518034.71974924,306271.973848134,"MPA",1999,2236940.51326992,1452469.99430627,443775.946458593
"8114",2006,"10-Mar-06","Lime Cay","Jamaica",17.9417,-76.8193,5,"Bleaching (% of population)",275,"ERG139",0,299.87,2193474.10217686,1552826.37341914,897807.840835571,"MPA",2005,2180416.39870253,1538229.03763434,975667.375946045
"8115",2006,"10-Mar-06","Lime Cay","Jamaica",17.9417,-76.8193,7,"Bleaching (% of population)",35,"ERG139",0,299.87,2193474.10217686,1552826.37341914,897807.840835571,"MPA",2005,2180416.39870253,1538229.03763434,975667.375946045
"8116",2006,"01-Jan-06","Dancing Lady","Jamaica",18.4742,-77.393,10,"Bleaching (% of population)",200,"ERG139",1.01,300.47,2557654.78776322,657058.438434601,115544.44185257,"Non MPA",NA,2502442.25669768,551305.730207324,133042.014381051
"8117",2006,"03-Jan-06","M1","Jamaica",18.4725,-77.41,10,"Bleaching (% of population)",40,"ERG139",0,300.47,2546383.13224564,661067.68037796,117475.323078156,"Non MPA",NA,2505439.43878487,569657.02398479,131694.414965749
"8118",2006,"08-Nov-06","Alligator Reef North","Jamaica",17.8127,-77.5483,6,"Bleaching (% of population)",6,"ERG139",3.38,302.39,2515409.76527654,601685.910232335,142541.054176331,"Non MPA",NA,2479933.75636571,631464.134958982,145349.182748556
"8119",2006,"08-Nov-06","Alligator Reef North","Jamaica",17.8127,-77.5483,7,"Bleaching (% of population)",13,"ERG139",3.38,302.39,2515409.76527654,601685.910232335,142541.054176331,"Non MPA",NA,2479933.75636571,631464.134958982,145349.182748556
"8120",2006,"23-Sep-06","Ireland Pen","Jamaica",18.3609,-78.3433,5,"Bleaching (% of population)",17,"ERG139",1.09,303.62,772493.459859684,266667.38442786,88748.9766693115,"MPA",2009,792645.226146281,292132.072613358,105136.842404723
"8121",2006,"23-Sep-06","Ireland Pen","Jamaica",18.3609,-78.3433,10,"Bleaching (% of population)",43,"ERG139",1.09,303.62,772493.459859684,266667.38442786,88748.9766693115,"MPA",2009,792645.226146281,292132.072613358,105136.842404723
"8122",2006,"08-Feb-06","Middle Shoal","Jamaica",18.3294,-78.3487,3,"Bleaching (% of population)",40,"ERG139",1.02,299.94,781907.236226872,260575.746167973,92083.9848957062,"MPA",1998,795676.583346903,276827.808150887,109395.938107848
"8123",2006,"08-Feb-06","Middle Shoal","Jamaica",18.3294,-78.3487,10,"Bleaching (% of population)",40,"ERG139",1.02,299.94,781907.236226872,260575.746167973,92083.9848957062,"MPA",1998,795676.583346903,276827.808150887,109395.938107848
"8124",2006,"10-Oct-06","Middle Shoal","Jamaica",18.3294,-78.3487,3,"Bleaching (% of population)",16,"ERG139",1.09,303.64,781907.236226872,260575.746167973,92083.9848957062,"MPA",1998,795676.583346903,276827.808150887,109395.938107848
"8125",2006,"23-Sep-06","Bloody Bay","Jamaica",18.3447,-78.3535,6.5,"Bleaching (% of population)",20,"ERG139",1.09,303.62,768032.827047184,256413.033353642,88621.8984699249,"MPA",1998,784877.239301264,272661.392234445,102786.96240747
"8126",2006,"23-Sep-06","Bloody Bay","Jamaica",18.3447,-78.3535,10,"Bleaching (% of population)",13,"ERG139",1.09,303.62,768032.827047184,256413.033353642,88621.8984699249,"MPA",1998,784877.239301264,272661.392234445,102786.96240747
"8127",2006,"21-Jan-06","Bloody Bay","Jamaica",18.3458,-78.3534,3,"Bleaching (% of population)",40,"ERG139",1.02,300.67,768032.827047184,256413.033353642,88621.8984699249,"MPA",1998,784877.239301264,272672.12072432,102564.258748412
"8128",2006,"21-Jan-06","Bloody Bay","Jamaica",18.3458,-78.3534,10,"Bleaching (% of population)",40,"ERG139",1.02,300.67,768032.827047184,256413.033353642,88621.8984699249,"MPA",1998,784877.239301264,272672.12072432,102564.258748412
"8129",2006,"23-Sep-06","Sandy Cay- outer mooring","Jamaica",18.3181,-78.3519,3,"Bleaching (% of population)",1,"ERG139",1.41,303.67,781907.236226872,263824.208082035,89394.2305011749,"MPA",1998,793854.736627162,266591.799205422,108762.473454833
"8130",2006,"24-Sep-06","El Punto Negrilo","Jamaica",18.2618,-78.3663,5,"Bleaching (% of population)",2,"ERG139",3.76,303.75,778194.413839176,237023.237897709,80076.4207954407,"MPA",1998,789400.253439844,232619.431157708,93491.7054799795
"8131",2006,"24-Sep-06","El Punto Negrilo","Jamaica",18.2618,-78.3663,9,"Bleaching (% of population)",12,"ERG139",3.76,303.75,778194.413839176,237023.237897709,80076.4207954407,"MPA",1998,789400.253439844,232619.431157708,93491.7054799795
"8132",2006,"24-Sep-06","Little Bay","Jamaica",18.2169,-78.2667,3,"Bleaching (% of population)",20,"ERG139",1.03333333333333,303.443333333333,912408.078023747,354983.972242191,112083.081392288,"MPA",1998,885221.552481949,339302.238484561,132279.308096409
"8133",2006,"24-Sep-06","Little Bay","Jamaica",18.2169,-78.2667,9,"Bleaching (% of population)",24,"ERG139",1.03333333333333,303.443333333333,912408.078023747,354983.972242191,112083.081392288,"MPA",1998,885221.552481949,339302.238484561,132279.308096409
"8134",2006,"21-Jan-06","Grand Lido","Jamaica",18.3432,-78.3438,3,"Bleaching (% of population)",40,"ERG139",1.02,300.67,777199.240133122,266832.863843754,92083.9848957062,"MPA",1998,797427.721168101,288389.588722825,109102.141095519
"8135",2006,"23-Sep-06","Grand Lido","Jamaica",18.3432,-78.3438,5,"Bleaching (% of population)",22,"ERG139",1.09,303.62,777199.240133122,266832.863843754,92083.9848957062,"MPA",1998,797427.721168101,288389.588722825,109102.141095519
"8136",2006,"22-Jan-06","Rockhouse","Jamaica",18.2652,-78.3691,3,"Bleaching (% of population)",0,"ERG139",0,300.83,773733.781026676,228582.610456303,80069.4104328156,"MPA",1998,786204.217550099,230361.533736348,91399.5807718039
"8137",2006,"22-Jan-06","Rockhouse","Jamaica",18.2652,-78.3691,10,"Bleaching (% of population)",40,"ERG139",0,300.83,773733.781026676,228582.610456303,80069.4104328156,"MPA",1998,786204.217550099,230361.533736348,91399.5807718039
"8138",2006,"15-Aug-06","Turtle Rocks","Bahamas",25.6626,-79.3077,1,"Bleaching (% of population)",0,"ERG141",0,303.07,1471677.35472725,1401.79616922699,1325.90373516083,"Non MPA",NA,1428126.77934226,1796.03340439498,1780.47814717144
"8139",2006,"20-Jun-06","Elbow Reef","USA-FL",25.141,-80.259,7,"Bleaching (% of population)",12,"ERG141",1.04,301.48,3010793.07180292,236564.703721825,11640.0651050061,"MPA",1990,2891180.67930822,221682.681336435,11403.2057536768
"8140",2006,"19-Jun-06","Grecian Dry Rocks","USA-FL",25.1106,-80.3035,5,"Bleaching (% of population)",0,"ERG141",2.11,302.61,2747161.45219321,167467.208777066,14450.5589054264,"MPA",1990,2701339.6659588,171621.431263374,14086.9350459668
"8141",2006,"22-Jun-06","French Reef","USA-FL",25.0342,-80.3472,11,"Bleaching (% of population)",4,"ERG141",2.31,301.97,2168147.77032096,52530.8984375261,16802.9321645536,"MPA",1990,2146130.53627569,71435.5281116172,17330.7215244376
"8142",2006,"31-Oct-06","Bajo San Felipe Profundo","Colombia",13.365,-81.4048,5.5,"Bleaching (% of population)",23,"ERG136",0,301.85,73573.2863713633,5257.30490875244,5257.30490875244,"MPA",2005,68899.2572562583,5029.57334899902,5029.57334899902
"8143",2006,"31-Oct-06","Channel","Colombia",13.3969,-81.394,6.5,"Bleaching (% of population)",3,"ERG136",3.07,302.36,46655.1690007579,5257.30490875244,5257.30490875244,"MPA",2005,45860.2101294883,5029.57334899902,5029.57334899902
"8144",2006,"11-Dec-06","La Grupera","Honduras",15.98,-86.4675,8,"Bleaching (% of population)",1,"ERG136",5.38,301.73,769478.778919608,321331.961748273,10444.665553093,"MPA",2003,706725.543058062,287323.344371408,7777.8413476944
"8145",2006,"16-Mar-06","El Avion","Honduras",15.9538,-86.4736,7,"Bleaching (% of population)",0,"ERG136",1.1,299.89,783334.042020873,340537.329721601,17450.9365758896,"MPA",2003,715482.721077078,297782.788168117,20184.1799221039
"8146",2006,"16-Mar-06","El Avion","Honduras",15.9538,-86.4736,13,"Bleaching (% of population)",0,"ERG136",1.1,299.89,783334.042020873,340537.329721601,17450.9365758896,"MPA",2003,715482.721077078,297782.788168117,20184.1799221039
"8147",2006,"30-Mar-06","El Avion","Honduras",15.9538,-86.4736,7,"Bleaching (% of population)",0,"ERG136",1.1,300.1,783334.042020873,340537.329721601,17450.9365758896,"MPA",2003,715482.721077078,297782.788168117,20184.1799221039
"8148",2006,"30-Mar-06","El Avion","Honduras",15.9538,-86.4736,13,"Bleaching (% of population)",0,"ERG136",1.1,300.1,783334.042020873,340537.329721601,17450.9365758896,"MPA",2003,715482.721077078,297782.788168117,20184.1799221039
"8149",2006,"11-Jan-06","Pelican Point #3","Honduras",15.9786,-86.4788,5,"Bleaching (% of population)",0,"ERG136",1.13,299.29,774914.507423476,320326.914507062,11144.9359998703,"MPA",2003,708819.982078993,290424.696880624,9088.26467609406
"8150",2006,"11-Jan-06","Pelican Point #3","Honduras",15.9786,-86.4788,10,"Bleaching (% of population)",0,"ERG136",1.13,299.29,774914.507423476,320326.914507062,11144.9359998703,"MPA",2003,708819.982078993,290424.696880624,9088.26467609406
"8151",2006,"01-Apr-06","Pelican Point #3","Honduras",15.9786,-86.4788,3,"Bleaching (% of population)",0,"ERG136",1.05,300.08,774914.507423476,320326.914507062,11144.9359998703,"MPA",2003,708819.982078993,290424.696880624,9088.26467609406
"8152",2006,"01-Apr-06","Pelican Point #3","Honduras",15.9786,-86.4788,9,"Bleaching (% of population)",2,"ERG136",1.05,300.08,774914.507423476,320326.914507062,11144.9359998703,"MPA",2003,708819.982078993,290424.696880624,9088.26467609406
"8153",2006,"22-Mar-06","Dicky C","Honduras",15.9789,-86.4813,7,"Bleaching (% of population)",1,"ERG136",2.19,299.5,774596.656227187,319395.953386457,11144.9359998703,"MPA",2003,709161.110147023,288843.1950939,8878.59914684296
"8154",2006,"22-Mar-06","Dicky C","Honduras",15.9789,-86.4813,13.5,"Bleaching (% of population)",5,"ERG136",2.19,299.5,774596.656227187,319395.953386457,11144.9359998703,"MPA",2003,709161.110147023,288843.1950939,8878.59914684296
"8155",2006,"31-Mar-06","Dicky C","Honduras",15.9789,-86.4813,6,"Bleaching (% of population)",0,"ERG136",1.05,300.08,774596.656227187,319395.953386457,11144.9359998703,"MPA",2003,709161.110147023,288843.1950939,8878.59914684296
"8156",2006,"31-Mar-06","Dicky C","Honduras",15.9789,-86.4813,12,"Bleaching (% of population)",0,"ERG136",1.05,300.08,774596.656227187,319395.953386457,11144.9359998703,"MPA",2003,709161.110147023,288843.1950939,8878.59914684296
"8157",2006,"21-Mar-06","Pelican Point 2","Honduras",15.9783,-86.4831,8,"Bleaching (% of population)",0,"ERG136",2.19,300.14,775921.482917861,323296.402116925,11144.9359998703,"MPA",2003,710074.298654103,288785.887253076,9428.4069852829
"8158",2006,"21-Mar-06","Pelican Point 2","Honduras",15.9783,-86.4831,13,"Bleaching (% of population)",4,"ERG136",2.19,300.14,775921.482917861,323296.402116925,11144.9359998703,"MPA",2003,710074.298654103,288785.887253076,9428.4069852829
"8159",2006,"04-Apr-06","Pelican Point Buoy 2","Honduras",15.9785,-86.4844,6,"Bleaching (% of population)",0,"ERG136",1.05,300.08,776139.240028457,323296.402116925,11144.9359998703,"MPA",2003,710030.408247614,288997.993516028,9398.36953639984
"8160",2006,"04-Apr-06","Pelican Point Buoy 2","Honduras",15.9785,-86.4844,11.5,"Bleaching (% of population)",1,"ERG136",1.05,300.08,776139.240028457,323296.402116925,11144.9359998703,"MPA",2003,710030.408247614,288997.993516028,9398.36953639984
"8161",2006,"09-Jan-06","Pelican Point #1","Honduras",15.9759,-86.4873,5,"Bleaching (% of population)",10,"ERG136",1.13,298.75,781670.679245071,322139.30528465,11278.5109205246,"MPA",2003,711404.456693971,289792.450308755,10817.7273893356
"8162",2006,"09-Jan-06","Pelican Point #1","Honduras",15.9759,-86.4873,10,"Bleaching (% of population)",17,"ERG136",1.13,298.75,781670.679245071,322139.30528465,11278.5109205246,"MPA",2003,711404.456693971,289792.450308755,10817.7273893356
"8163",2006,"03-Apr-06","Pelican Point 1A","Honduras",15.9767,-86.4875,5,"Bleaching (% of population)",0,"ERG136",1.05,300.08,781635.078342513,322139.30528465,11278.5109205246,"MPA",2003,711207.787176096,288927.208518729,10564.644408226
"8164",2006,"03-Apr-06","Pelican Point 1A","Honduras",15.9767,-86.4875,12,"Bleaching (% of population)",2,"ERG136",1.05,300.08,781635.078342513,322139.30528465,11278.5109205246,"MPA",2003,711207.787176096,288927.208518729,10564.644408226
"8165",2006,"05-Apr-06","Pelican Point 1C","Honduras",15.9728,-86.4889,6.5,"Bleaching (% of population)",0,"ERG136",1.05,300.8,781401.312912063,322139.295516014,11278.5109205246,"MPA",2003,712827.322357291,290271.401870325,12034.9232397079
"8166",2006,"05-Apr-06","Pelican Point 1C","Honduras",15.9728,-86.4889,12,"Bleaching (% of population)",1,"ERG136",1.05,300.8,781401.312912063,322139.295516014,11278.5109205246,"MPA",2003,712827.322357291,290271.401870325,12034.9232397079
"8167",2006,"05-Apr-06","Pelican Point 4","Honduras",15.9728,-86.4889,5.5,"Bleaching (% of population)",0,"ERG136",1.05,300.8,781401.312912063,322139.295516014,11278.5109205246,"MPA",2003,712827.322357291,290271.401870325,12034.9232397079
"8168",2006,"05-Apr-06","Pelican Point 4","Honduras",15.9728,-86.4889,12.5,"Bleaching (% of population)",2,"ERG136",1.05,300.8,781401.312912063,322139.295516014,11278.5109205246,"MPA",2003,712827.322357291,290271.401870325,12034.9232397079
"8169",2006,"10-Jan-06","Pelican Point #2","Honduras",15.9776,-86.4846,5,"Bleaching (% of population)",20,"ERG136",1.13,298.75,776282.275367812,323296.402116925,11144.9359998703,"MPA",2003,710357.929908717,288934.410966456,10094.2423429489
